
PATRON XO CAFÉ  BOTTLE,*TEQUILA,150000,mini bar
JOSE CUERVO SILVER BOTTLE,*TEQUILA,180000,mini bar
JOSECUERVO GOLD BOTTLE,*TEQUILA,180000,mini bar
OLMECA SILVER BOTTLE,*TEQUILA,145000,mini bar
OLMECA GOLD BOTTLE,*TEQUILA,145000,mini bar
TEQ UILA CAMINO BOTTLE,*TEQUILA,12000,mini bar
CAPTAIN MORGAN DARK SINGLE,*RUMS,20000,mini bar
CAPTAIN MORGAN SPICED SINGLE,*RUMS,8000,mini bar
MYERS RUM SINGLE,*RUMS,10000,mini bar
BACARDI SUPERIOR SINGLE,*RUMS,7000,mini bar
VERMOUTHS.APERITIFS SINGLE,*RUMS,8000,mini bar
MALIBU SINGLE,*RUMS,8000,mini bar
CAPTAIN MORGAN DARK BOTTLE,*RUMS,400000,mini bar
CAPTAIN MORGAN SPICED BOTTLE,*RUMS,170000,mini bar
MYERS RUM BOTTLE,*RUMS,180000,mini bar
BACARDI SUPERIOR BOTTLE,*RUMS,120000,mini bar
VERMOUTHS.APERITIFS BOTTLE,*RUMS,160000,mini bar
MALIBU BOTTLE,*RUMS,160000,mini bar
MARTINI ROSSO SINGLE,*VERMOUTHS.APERITIFS,5000,mini bar
MARTINI BIANCO SINGLE,*VERMOUTHS.APERITIFS,5000,mini bar
MARTINI DRY SINGLE,*VERMOUTHS.APERITIFS,5000,mini bar
CINZANO ROSSO SINGLE,*VERMOUTHS.APERITIFS,4000,mini bar
CINZANO BIANCO SINGLE,*VERMOUTHS.APERITIFS,3000,mini bar
CAMPARI SINGLE,*VERMOUTHS.APERITIFS,7000,mini bar
MARTINI ROSSO BOTTLE,*VERMOUTHS.APERITIFS,80000,mini bar
MARTINI BIANCO  BOTTLE,*VERMOUTHS.APERITIFS,80000,mini bar
MARTINI DRY  BOTTLE,*VERMOUTHS.APERITIFS,80000,mini bar
CINZANO ROSSO  BOTTLE,*VERMOUTHS.APERITIFS,80000,mini bar
CINZANO BIANCO  BOTTLE,*VERMOUTHS.APERITIFS,80000,mini bar
 CAMPARI BOTTLE,*VERMOUTHS.APERITIFS,140000,mini bar
FAMOUS GROUSE SINGLE,*WISKY,5000,mini bar
J/B RARE   SINGLE,*WISKY,5000,mini bar
JAMESON SINGLE,*WISKY,6000,mini bar
CHIVAS REGAL SINGLE,*WISKY,10000,mini bar
BUSHMILLS SINGLE,*WISKY,7000,mini bar
JOHNNY WALKER BLACK SINGLE,*WISKY,10000,mini bar
JOHNNY WALKER DOUBLE BLACK SINGLE,*WISKY,15000,mini bar
JOHNNY WALKER RED SINGLE,*WISKY,7000,mini bar
JOHNNY WALKER BLACK SINGLE,*WISKY,10000,mini bar
BULLEIT BOURBON SINGLE,*WISKY,10000,mini bar
JACK DANIEL SINGLE,*WISKY,10000,mini bar
FAMOUS GROUSE BOTTLE,*WISKY,120000,mini bar
J/B RARE   BOTTLE,*WISKY,120000,mini bar
JAMESON BOTTLE,*WISKY,150000,mini bar
CHIVAS REGAL BOTTLE,*WISKY,210000,mini bar
BUSHMILLS BOTTLE,*WISKY,175000,mini bar
JOHNNY WALKER BLACK BOTTLE,*WISKY,190000,mini bar
JOHNNY WALKER DOUBLE BLACK BOTTLE,*WISKY,250000,mini bar
JOHNNY WALKER RED BOTTLE,*WISKY,120000,mini bar
JOHNNY WALKER BLACK BOTTLE,*WISKY,190000,mini bar
BULLEIT BOURBON BOTTLE,*WISKY,180000,mini bar
JACK DANIEL BOTTLE,*WISKY,200000,mini bar
GLENLIVET12YRS SINGLE,*SINGLE MALTWHISKY,15000,mini bar
 GLENLIVET 15YRS SINGLE,*SINGLE MALTWHISKY,15000,mini bar
GLENFIDDICH 12YRS SINGLE,*SINGLE MALTWHISKY,15000,mini bar
GLENFIDDICH 15YRS SINGLE,*SINGLE MALTWHISKY,20000,mini bar
GLENFIDDICH 18YRS SINGLE,*SINGLE MALTWHISKY,25000,mini bar
GLENKINCHIE 12YRS SINGLE,*SINGLE MALTWHISKY,15000,mini bar
GLENLIVET12YRS BOTTLE,*SINGLE MALTWHISKY,280000,mini bar
 GLENLIVET 15YRS BOTTLE,*SINGLE MALTWHISKY,300000,mini bar
GLENFIDDICH 12YRS BOTTLE,*SINGLE MALTWHISKY,280000,mini bar
 GLENFIDDICH 15YRS BOTTLE,*SINGLE MALTWHISKY,350000,mini bar
GLENFIDDICH 18YRS BOTTLE,*SINGLE MALTWHISKY,450000,mini bar
GLENKINCHIE 12YRS BOTTLE,*SINGLE MALTWHISKY,300000,mini bar
SMIRNOFF VODKA SINGLE,*VODKA ,5000,mini bar
ABSOLUTE VODKA SINGLE,*VODKA ,6000,mini bar
GREY GROOSE SINGLE,*VODKA ,15000,mini bar
BELVEDERE SINGLE,*VODKA ,15000,mini bar
STOLICHNAYA SINGLE,*VODKA ,7000,mini bar
SMIRNOFF VODKA BOTTLE,*VODKA ,100000,mini bar
ABSOLUTE VODKA BOTTLE,*VODKA ,140000,mini bar
GREY GROOSE BOTTLE,*VODKA ,240000,mini bar
BELVEDERE BOTTLE,*VODKA ,270000,mini bar
STOLICHNAYA BOTTLE,*VODKA ,120000,mini bar
GILBEYS GIN SINGLE,*GIN,7000,mini bar
HENDRICKS SINGLE,*GIN,15000,mini bar
GORDON'S GIN SNGL,*GIN,7500,mini bar
BOMBAY SINGLE,*GIN,10000,mini bar
TANQUERAY SINGLE,*GIN,9000,mini bar
OPIR SINGLE,*GIN,10000,mini bar
GILBEYS GIN BOTTLE,*GIN,120000,mini bar
HENDRICKS BOTTLE,*GIN,210000,mini bar
GORDON'S GIN BTTL,*GIN,130000,mini bar
BOMBAY BOTTLE,*GIN,180000,mini bar
TANQUERAY BOTTLE,*GIN,170000,mini bar
OPIR BOTTLE,*GIN,170000,mini bar
CALVET RESERVE MERLOT CABENET BY GLASS,*REDWINES,14000,mini bar
CALVET CHARDONNAY BLANC BYGLASS,*REDWINES,14000,mini bar
JP CHNET RESVE MERLOT C'BOIS BY LAS,*REDWINES,14000,mini bar
LUISESCHENAUER SYRAH BY GLASS,*REDWINES,14000,mini bar
BORD CALVET BYGLASS,*REDWINES,14000,mini bar
PETITES FOLIES MERLCT BY GLASS,*REDWINES,14000,mini bar
MEDOC CHAT HAUT PLANTEY  BY GLASS,*REDWINES,12000,mini bar
CHAT BOUTEILLEY BY GLASS,*REDWINES,12000,mini bar
DOUGLAS MERLOT BY GLASS,*REDWINES,14000,mini bar
CALVET RESERVE MERLOT CABENET BOTTLE,*REDWINES,65000,mini bar
CALVET CHARDONNAY BLANC BOTTLE,*REDWINES,55000,mini bar
JP CHNET RESVE MERLOT C'BOIS BOTTLE,*REDWINES,65000,mini bar
CHATEAU NEUF DU PAPE BOTTLE,*REDWINES,190000,mini bar
LUIS ESCHENAUER MERLOT  BOTTLE,*REDWINES,55000,mini bar
LUISESCHENAUER SYRAH BOTTLE,*REDWINES,55000,mini bar
BORD CALVET BOTTLE,*REDWINES,55000,mini bar
PETITES FOLIES MERLCT BOTTLE,*REDWINES,65000,mini bar
MEDOC CHAT HAUT PLANTEY  BOTTLE,*REDWINES,85000,mini bar
POUILLY FUISSE QUINSON BLANC BOTTLE,*REDWINES,160000,mini bar
ROSE D.ANJOU BOTTLE,*REDWINES,85000,mini bar
VIN DU CHILI EL EMPERADO CAB BOTTLE,*REDWINES,70000,mini bar
PINOT NOIR BOTTLE,*REDWINES,70000,mini bar
CHAT BOUTEILLEY BOTTLE,*REDWINES,55000,mini bar
ZILLIKEN CLASSIC BOTTLE,*REDWINES,80000,mini bar
ZILLIKEN FILIUS BOTTLE,*REDWINES,80000,mini bar
ZILLKEN TROKEN BOTTLE,*REDWINES,80000,mini bar
DOUGLAS MERLOT BOTTLE,*REDWINES,65000,mini bar
PINOT BLANC LAUGEL CUVEE BOTTLE,*WHITE WINES,85000,mini bar
ZILLIKEN CLASSIC BOTTLE,*WHITE WINES,80000,mini bar
ZILLIKEN FILIUS BOTTLE,*WHITE WINES,80000,mini bar
ZILLKEN TROKEN BOTTLE,*WHITE WINES,80000,mini bar
POUILLY FUISSE QUINSON BLANC BOTTLE,*WHITE WINES,160000,mini bar
RIESLING LAUGEL CUVEE BOTTLE,*WHITE WINES,90000,mini bar
CALVET CHARDONNAY BLANC BOTTLE,*WHITE WINES,55000,mini bar
LIEBFRAUMILCH SWEET BOTTLE,*WHITE WINES,40000,mini bar
MOET CHANDON IMPERIAL BOTTLE,*CHAMPAGNE,290000,mini bar
VEUVE CLIQUOT BOTTLE,*CHAMPAGNE,290000,mini bar
BELAIRE BOTTLE,*CHAMPAGNE,290000,mini bar
DROSTDY OFF BY GLASS,*WINE BY GLASS,14000,mini bar
DON SIMON BY GLASS,*WINE BY GLASS,14000,mini bar
VIN;OUSSEUX DOC PROSECCO BOTTLE,*SPARKLING WINE,75000,mini bar
VIN MOUSSEUX KRAEMER BRUT BOTTLE,*SPARKLING WINE,55000,mini bar
KRAEMER BOTTLE,*SPARKLING WINE,55000,mini bar
